Model Year	Mfr Name	Division	Region	Carline	Verify Mfr Cd	Eng Displ	# Cyl	Transmission	City FE (Guide) - Conventional Fuel	Hwy FE (Guide) - Conventional Fuel	Comb FE (Guide) - Conventional Fuel	City Unadj FE - Conventional Fuel	Hwy Unadj FE - Conventional Fuel	Comb Unadj FE - Conventional Fuel	City Unrd Adj FE - Conventional Fuel	Hwy Unrd Adj FE - Conventional Fuel	Comb Unrd Adj FE - Conventional Fuel	Trans	Trans Desc	# Gears	Lockup Torque Converter	Trans Creeper Gear	Drive Sys	Drive Desc	Fuel Usage  - Conventional Fuel	Annual Fuel1 Cost - Conventional Fuel	EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify.	Descriptor - Model Type (40 Char or less)	Intake Valves Per Cyl	Exhaust Valves Per Cyl	Carline Class	Carline Class Desc	Class	Car/Truck Category - Cash for Clunkers Bill.	MFR Calculated Gas Guzzler MPG	City CO2 Rounded Adjusted	Hwy CO2 Rounded Adjusted	Comb CO2 Rounded Adjusted (as shown on FE Label)
2021	General Motors	GMC	US	YUKON XL 2WD	GMX	5.3	8	Auto(A10)	16	20	18	20.4	30.7971	24.0543	16.4046	20	18	A	Automatic	10	Y	N	R	"2-Wheel Drive, Rear"	G	2250	2250	SIDI;	1	1	32	Standard SUV 2WD	SUV			541	441	492
2021	General Motors	GMC	US	YUKON XL 2WD	GMX	6.2	8	Auto(A10)	14	20	16	18.5	29.9	22.3314	14.3297	19.9442	16.4083	A	Automatic	10	Y	N	R	"2-Wheel Drive, Rear"	GPR	3050	3050	SIDI;	1	1	32	Standard SUV 2WD	SUV			616	445	539
2021	Hyundai	HYUNDAI MOTOR COMPANY	Asia	Palisade FWD	HYX	3.8	6	Auto(S8)	19	26	22	24.2963	37.4185	28.8489	19.2905	26.4647	21.9707	SA	Semi-Automatic	8	Y	N	F	"2-Wheel Drive, Front"	G	1850	1850	SIDI;	2	2	32	Standard SUV 2WD	SUV			463	337	407
2021	Volvo	"Volvo Cars of North America, LLC"	Europe	XC90 FWD	VVX	2	4	Auto(S8)	21	30	25	27.2	42.7	32.5106	21.3942	29.8444	24.5182	SA	Semi-Automatic	8	Y	N	F	"2-Wheel Drive, Front"	GPR	1950	1950	SIDI;	2	2	32	Standard SUV 2WD	SUV			413	296	361
2021	General Motors	Cadillac	US	ESCALADE 4WD	GMX	6.2	8	Auto(A10)	14	19	16	17.8001	28.0002	21.2902	13.9808	18.9595	15.8543	A	Automatic	10	Y	N	4	4-Wheel Drive	GPR	3050	3050	SIDI;	1	1	33	Standard SUV 4WD	SUV			632	468	558
2021	General Motors	Chevrolet	US	SUBURBAN 4WD	GMX	5.3	8	Auto(A10)	15	19	17	18.9991	27.9986	22.2119	15.3488	19	17.2192	A	Automatic	10	Y	N	4	4-Wheel Drive	G	2400	2400	SIDI;	1	1	33	Standard SUV 4WD	SUV			578	467	515
2021	General Motors	Chevrolet	US	SUBURBAN 4WD	GMX	6.2	8	Auto(A10)	14	19	16	17.8001	28.0002	21.2902	13.9808	18.9595	15.8543	A	Automatic	10	Y	N	4	4-Wheel Drive	GPR	3050	3050	SIDI;	1	1	33	Standard SUV 4WD	SUV			632	468	558
2021	General Motors	Chevrolet	US	TAHOE 4WD	GMX	5.3	8	Auto(A10)	16	20	18	19.7	29.4	23.1348	15.8782	20	17.8928	A	Automatic	10	Y	N	4	4-Wheel Drive	G	2250	2250	SIDI;	1	1	33	Standard SUV 4WD	SUV			558	444	496
2021	General Motors	Chevrolet	US	TAHOE 4WD	GMX	6.2	8	Auto(A10)	14	19	16	17.8001	28.0002	21.2902	13.9808	18.9595	15.8543	A	Automatic	10	Y	N	4	4-Wheel Drive	GPR	3050	3050	SIDI;	1	1	33	Standard SUV 4WD	SUV			632	468	558
2021	General Motors	GMC	US	YUKON 4WD	GMX	5.3	8	Auto(A10)	16	20	18	19.7	29.4	23.1348	15.8782	20	17.8928	A	Automatic	10	Y	N	4	4-Wheel Drive	G	2250	2250	SIDI;	1	1	33	Standard SUV 4WD	SUV			558	444	496
