Model.Year	Mfr	Division	Car.line	Class	CityMPG	HighwayMPG	CombinedMPG	Displacement	Cylinders	Transmission	Gears	CityCO2	HwyCO2	CombCO2
2019	Honda	Honda	CIVIC 4Dr	"2-Wheel Drive, Front"	30	38	33	1.5	4	Auto(AV-S7)	7	292	234	266
2019	Honda	Honda	CIVIC 4Dr	"2-Wheel Drive, Front"	28	38	32	1.5	4	Manual(M6)	6	317	233	279
2019	Honda	Honda	CIVIC 4Dr	"2-Wheel Drive, Front"	30	38	33	2.0	4	Auto(AV)	1	298	232	268
2019	Honda	Honda	CIVIC 4Dr	"2-Wheel Drive, Front"	29	37	32	2.0	4	Auto(AV-S7)	7	306	238	276
2019	Honda	Honda	CIVIC 4Dr	"2-Wheel Drive, Front"	25	36	29	2.0	4	Manual(M6)	6	347	242	300
2019	Honda	Honda	INSIGHT	"2-Wheel Drive, Front"	55	49	52	1.5	4	Auto(AV)	1	161	182	170
2019	Honda	Honda	INSIGHT TOURING	"2-Wheel Drive, Front"	51	45	48	1.5	4	Auto(AV)	1	172	199	184
2019	Hyundai	HYUNDAI MOTOR COMPANY	Elantra	"2-Wheel Drive, Front"	32	40	35	1.4	4	Auto(AM7)	7	282	224	256
2019	Hyundai	HYUNDAI MOTOR COMPANY	Elantra	"2-Wheel Drive, Front"	26	33	29	1.6	4	Auto(AM7)	7	336	267	305
2019	Hyundai	HYUNDAI MOTOR COMPANY	Elantra	"2-Wheel Drive, Front"	22	30	25	1.6	4	Manual(M6)	6	406	295	356
2019	Hyundai	HYUNDAI MOTOR COMPANY	Elantra	"2-Wheel Drive, Front"	28	37	32	2.0	4	Auto(S6)	6	315	240	281
2019	Hyundai	HYUNDAI MOTOR COMPANY	Elantra	"2-Wheel Drive, Front"	26	36	29	2.0	4	Manual(M6)	6	344	248	301
2019	Hyundai	HYUNDAI MOTOR COMPANY	Elantra SE	"2-Wheel Drive, Front"	29	38	33	2.0	4	Auto(S6)	6	305	231	272
