state	county	trump16_pct	clinton16_pct	otherpres16_pct	romney12_pct	obama12_pct	otherpres12_pct	senaterace16	houserace16	govrace16	total_population	cvap	voterturnout16_pct	voterturnout12_pct	voterturnout_pct_diff	white_pct	nonwhite_pct	black_pct	hispanic_pct	foreignborn_pct	female_pct	age29andunder_pct	age65andolder_pct	median_hh_inc	clf_unemploy_pct	lesshs_pct	lesscollege_pct	rural_pct
Virginia	Hopewell	0.4312833037	0.5244227353	0.0442939609	0.4140183811	0.5734691618	0.0125124571	No Race	No Race	No Race	22332	15990	0.5633520951	0.5647904941	-0.001438399	49.892530897	50.107469103	38.854558481	7.1825183593	4.5495253448	53.506179473	40.247178936	15.699444743	40814	10.838095238	19.082321188	85.614035088	0
Virginia	Lexington	0.3107505071	0.614198783	0.0750507099	0.4264979531	0.5530331224	0.0204689245	No Race	Race	No Race	7036	6335	0.3891081294	0.4241515391	-0.03504341	80.542922115	19.457077885	8.996588971	4.1785105173	3.9368959636	43.447981808	67.367822626	14.198408186	34464	3.9265898421	14.962495065	55.112514805	0
Virginia	Lynchburg	0.5041069777	0.4146785905	0.0812144319	0.543404302	0.4375548727	0.0190408253	No Race	No Race	No Race	78755	60840	0.5863083498	0.5990795529	-0.012771203	62.999174656	37.000825344	28.228049013	3.3394705098	5.8548663577	53.035362834	51.516729097	13.992762364	40728	7.1746048444	11.784090909	66.711363636	2.6916154986
Virginia	Manassas	0.3862825255	0.5465576536	0.0671598209	0.4251973684	0.5577631579	0.0170394737	No Race	Race	No Race	41149	23390	0.6588713125	0.6498503634	0.0090209491	43.490728815	56.509271185	13.020972563	34.095603781	27.684755401	50.290408029	44.210065858	8.1873192544	74371	6.039748774	18.490278307	69.92375143	0
Virginia	Manassas Park	0.3312308869	0.6123853211	0.056383792	0.3649054983	0.6183419244	0.0167525773	No Race	Race	No Race	15827	8460	0.6184397163	0.5503546099	0.0680851064	37.473936943	62.526063057	12.630315284	36.526189423	33.23434637	47.008276995	43.590067606	6.6531875908	75027	4.5828437133	17.533925608	69.579224836	0
Virginia	Martinsville	0.3638056543	0.5981039445	0.0380904012	0.3679185232	0.6134627626	0.0186187142	No Race	No Race	No Race	13551	10265	0.5754505602	0.6121773015	-0.036726741	46.60172681	53.39827319	46.454136226	4.7081396207	2.973950262	54.062430817	35.879270903	20.566747841	31719	10.001678134	20.902939311	81.719179531	0
Virginia	Newport News	0.3363666381	0.6024962029	0.0611371591	0.3427571623	0.6432203817	0.0140224561	No Race	No Race	No Race	181606	133205	0.5684095942	0.5964040389	-0.027994445	44.719888109	55.280111891	39.408389591	8.3857361541	7.0961311851	51.504355583	45.275486493	11.733092519	50089	8.2945563843	10.793634346	75.277396403	0.0282206077
Virginia	Norfolk	0.2584544539	0.6838274092	0.0577181369	0.2659260366	0.7201842767	0.0138896867	No Race	No Race	No Race	245724	188110	0.4432938174	0.4627239381	-0.019430121	43.842685289	56.157314711	41.353306962	7.4245901906	7.1136722502	47.904559587	49.611759535	9.9469323306	45268	9.6751449774	12.488196098	73.38835171	0
Virginia	Norton	0.6993150685	0.2623287671	0.0383561644	0.5998659517	0.3793565684	0.0207774799	No Race	No Race	No Race	3978	3090	0.4724919094	0.4828478964	-0.010355987	86.324786325	13.675213675	5.9577677225	2.5892408245	4.7008547009	55.681246858	36.62644545	15.485168426	26000	13.567839196	17.214285714	82.678571429	2.5770591208
Virginia	Petersburg	0.1052517046	0.8719715654	0.02277673	0.0959894393	0.8978501383	0.0061604224	No Race	No Race	No Race	31997	24815	0.555551078	0.6410638727	-0.085512795	14.98890521	85.01109479	76.547801356	4.4972966216	3.4628246398	54.030065319	39.500578179	15.654592618	32169	13.668154266	21.323263386	83.411722142	2.1067242443
